package	version	handler	status	local_path	declared_sha256	local_sha256	url	site
dvbhdhomerun	20130704	archive	missing	sources/dvbhdhomerun/dvbhdhomerun-20130704.tar.xz	1af817b85b163f3c6c3a9a07410f54875e74513c197709638b4922165e894f54		https://github.com/AmberELEC/AmberELEC/dvbhdhomerun-20130704.tar.xz	http://sourceforge.net/projects/dvbhdhomerun/
e2fsprogs	1.45.3	archive	present	sources/e2fsprogs/e2fsprogs-1.45.3.tar.xz	90d10066b815e27b0b4875f0d5e396c663e0bf55aa3ca10868978d10c6ffe595	90d10066b815e27b0b4875f0d5e396c663e0bf55aa3ca10868978d10c6ffe595	https://www.kernel.org/pub/linux/kernel/people/tytso/e2fsprogs/v1.45.3/e2fsprogs-1.45.3.tar.xz	http://e2fsprogs.sourceforge.net/
easyrpg	6ba2f54ed4e2c12b5bd73fc326600a67cf595dde	git	present	sources/easyrpg/easyrpg-6ba2f54ed4e2c12b5bd73fc326600a67cf595dde			https://github.com/easyrpg/player.git	https://github.com/easyrpg/player
ecwolf	db154c482943e89c16b8d4de23120e66f5312042	file	present	extpackage/ecwolf-db154c482943e89c16b8d4de23120e66f5312042/			file:///home/samu/repos/others/RetroPixel_Pocket/extpackage/ecwolf-db154c482943e89c16b8d4de23120e66f5312042/	file:///home/samu/repos/others/RetroPixel_Pocket/extpackage/ecwolf-db154c482943e89c16b8d4de23120e66f5312042/
edid-decode	15df4aebf06da579241c58949493b866139d0e2b	archive	present	sources/edid-decode/edid-decode-15df4aebf06da579241c58949493b866139d0e2b.tar.xz	58743c8ba768134ef1421e1ce9f4edf0eafdae29377fe5b8f4cb285f16dc142e	58743c8ba768134ef1421e1ce9f4edf0eafdae29377fe5b8f4cb285f16dc142e	https://git.linuxtv.org/edid-decode.git/snapshot/15df4aebf06da579241c58949493b866139d0e2b.tar.xz	https://git.linuxtv.org/edid-decode.git/
elfutils	0.182	archive	missing	sources/elfutils/elfutils-0.182.tar.bz2	ecc406914edf335f0b7fc084ebe6c460c4d6d5175bfdd6688c1c78d9146b8858		https://sourceware.org/elfutils/ftp/0.182/elfutils-0.182.tar.bz2	https://sourceware.org/elfutils/
empty	0.6.20b	archive	present	sources/empty/empty-0.6.20b.tgz	7e6636e400856984c4405ce7bd0843aaa3329fa3efd20c58df8400a9eaa35f09	7e6636e400856984c4405ce7bd0843aaa3329fa3efd20c58df8400a9eaa35f09	http://downloads.sourceforge.net/sourceforge/empty/empty-0.6.20b.tgz	http://empty.sourceforge.net/
emulationstation	5d0e295a05ee2b83e4aa741a2b275aa0b5c79f18	file	present	extpackage/emulationstation-5d0e295a05ee2b83e4aa741a2b275aa0b5c79f18			file:///home/samu/repos/others/RetroPixel_Pocket/extpackage/emulationstation-5d0e295a05ee2b83e4aa741a2b275aa0b5c79f18	file:///home/samu/repos/others/RetroPixel_Pocket/extpackage/emulationstation-5d0e295a05ee2b83e4aa741a2b275aa0b5c79f18
emuscv	dfce10df090ce3f5eb23bdbee289702ec1478246	git	present	sources/emuscv/emuscv-dfce10df090ce3f5eb23bdbee289702ec1478246			https://gitlab.com/MaaaX-EmuSCV/libretro-emuscv.git	https://gitlab.com/MaaaX-EmuSCV/libretro-emuscv
encodings	1.0.4	archive	missing	sources/encodings/encodings-1.0.4.tar.bz2	ced6312988a45d23812c2ac708b4595f63fd7a49c4dcd9f66bdcd50d1057d539		http://xorg.freedesktop.org/archive/individual/font/encodings-1.0.4.tar.bz2	http://www.X.org
ep128emu	0747110b5a98b4c36dc8784780f5ae436a94a1bd	archive	present	sources/ep128emu/ep128emu-0747110b5a98b4c36dc8784780f5ae436a94a1bd.tar.gz	5e559d10354522d6eb5934a8ca3a25d2ba6f82efd3d1efec47ff6b0176f181cb	5e559d10354522d6eb5934a8ca3a25d2ba6f82efd3d1efec47ff6b0176f181cb	https://github.com/libretro/ep128emu-core/archive/0747110b5a98b4c36dc8784780f5ae436a94a1bd.tar.gz	https://github.com/libretro/ep128emu-core
es-theme-art-book-next	4ea9b03dba68ad4bc49e43315e1173901d282ceb	git	present	sources/es-theme-art-book-next/es-theme-art-book-next-4ea9b03dba68ad4bc49e43315e1173901d282ceb			https://github.com/AmberELEC/art-book-next-amberelec.git	https://github.com/AmberELEC/art-book-next-amberelec
ethtool	5.1	archive	present	sources/ethtool/ethtool-5.1.tar.xz	65feac1fec6565290b7784b2efc925dee900a9b11202ce7c6c30a967c3da3387	65feac1fec6565290b7784b2efc925dee900a9b11202ce7c6c30a967c3da3387	http://www.kernel.org/pub/software/network/ethtool/ethtool-5.1.tar.xz	http://www.kernel.org/pub/software/network/ethtool/
evtest	1.33	archive	present	sources/evtest/evtest-1.33.tar.bz2	5037d1162f4c407053cd97e85763ba03150a0c35f929ee9bf9a360abd32ef1c1	5037d1162f4c407053cd97e85763ba03150a0c35f929ee9bf9a360abd32ef1c1	http://cgit.freedesktop.org/evtest/snapshot/evtest-1.33.tar.bz2	http://cgit.freedesktop.org/evtest/
exfat	66747e2df0771b23ea30cbef3767f2b72488e914	archive	present	sources/exfat/exfat-66747e2df0771b23ea30cbef3767f2b72488e914.tar.gz	c83fedc3deaefde0d9549deb73ffc4b610d29ff23d39e5628114f67d267d0e82	c83fedc3deaefde0d9549deb73ffc4b610d29ff23d39e5628114f67d267d0e82	https://github.com/relan/exfat/archive/66747e2df0771b23ea30cbef3767f2b72488e914.tar.gz	https://github.com/relan/exfat
exfatprogs	7c3b61769bb04eaafedf245db396813bbcfb2b0a	archive	present	sources/exfatprogs/exfatprogs-7c3b61769bb04eaafedf245db396813bbcfb2b0a.tar.gz	17f8ca2b3729a82b2afa8e6f50f3506e61d691763365d0da477c88642787e5cf	17f8ca2b3729a82b2afa8e6f50f3506e61d691763365d0da477c88642787e5cf	https://github.com/exfatprogs/exfatprogs/archive/7c3b61769bb04eaafedf245db396813bbcfb2b0a.tar.gz	https://github.com/exfatprogs/exfatprogs
expat	2.4.1	archive	present	sources/expat/expat-2.4.1.tar.bz2	2f9b6a580b94577b150a7d5617ad4643a4301a6616ff459307df3e225bcfbf40	2f9b6a580b94577b150a7d5617ad4643a4301a6616ff459307df3e225bcfbf40	https://github.com/libexpat/libexpat/releases/download/R_2_4_1/expat-2.4.1.tar.bz2	http://expat.sourceforge.net/
fake08	d98376fc41c34e3cd6d3ffc25ae9c2970efd5286	git	present	sources/fake08/fake08-d98376fc41c34e3cd6d3ffc25ae9c2970efd5286			https://github.com/jtothebell/fake-08.git	https://github.com/jtothebell/fake-08
